,reviews
321,"very convenient for over night stay right off the I 95. restaurant & pub in hotel, gas station across street and other fast food restaurant up the road and a few shopping stores."
322,"New everything would be great from the moment we came through the gate. Nine excellent, high quality rooms each with a small kitchen/diner and terrific shower room including twin wash basins. Each room faces onto the pool with plenty of sun loungers, towels, shaded areas and comfortable seating. Rooms furnished to extremely high standard and beds have the finest linen... More"
323,Nice rooms. Very clean. Front staff was polite and courteous.
324,Nice and friendly staff
325,"Best Western Plus Waterville Grand Hotel is in close proximity to Colby College Museum of Art (great collection of regional and international artists). O'Brien's Irish Restaurant and Pub is located on the property and offers a good selection of breakfast and dinner options. My understanding is hat this hotel was recently upgraded, although it is hard to tell colors and... More"
326,This hotel is used for Winter Romp each year . The cost is not too expensive . The room is a good size . There was two beds in the room. It is in good condition for the price we pay . There is lots of parking . Breakfast was included which was great . Will return again to thus...
327,Hotel was convenient to I95 and well above average in appearance and appointments. Staff was very gracious and accommodating. We were passing through so one night stay. Did not eat in restaurant because alternatives were very close by. Rate was not a bargain but worth the price.
328,"Hotel was good. Indoor pool was the draw AND it was actually very warm. Great job! However, I do NOT recommend eating at the hotel restaurant... HORRIBLE service, so/so food quality. With only 3 people at the bar and 2 in restaurant it shouldn't have taken 35 minutes to get an order of nachos, then when it came out, the order was wrong!! Waited another 30 mins for the main dish. Pasta over cooked, chicken rubbery, even my 4 yr old wouldn't eat it. Good stay, but eat elsewhere."
329,"Conveniently located, very efficient staff, reasonably priced."
330,Location of this hotel was convenient to 95 and not far from downtown (by car) to Waterville. The only complaint I would voice would be that the outer door that was used for entry to the building in the back of the hotel was kept open at night due to a broken lock. This added a sense of less security to me as a single traveler.
331,"To our surprise the hotel was under a major reintivation, with construction materials everywhere, cluttered throughout, dirty and not well maintained. The pictures of the property on the web did not match what we actually experienced. No security at the hotel, as all of the doors from the parking lot and center courtyard where broken and not using the key pad to enter. Anyone could enter the building. Crushed and broken glasses lined the parking lot on one side of the building. The A/C unit was very old with missing knobs and instructions that were worn off. Getting the room to a comfortable temperature was a challenge. Dirty used towels were hanging in the shower questioning whether the room had been properly cleaned from the prior occupant. Duct tape was used to patch the holes in the curtains. To top that off the mattress was as hard as a rock making sleeping nearly impossible. If it was not for us driving all day and that it was late in the evening we would have not stayed at this hotel. Worst experience at a hotel in my life time. To top it off, we paid way too much for the room based on the experience and status of the property. Terrible experience!"
332,I only booked this hotel because it was dog friendly
333,Lovely view out onto the lagoon. Excellent view. Staff were welcoming and helpful.
334,"Spend four days there and would have prolonged our stay if they only had a room available. Welcoming host, all rooms around the patio / pool. This place breathes tranquility and relaxation. Since you normally travel by car in this country anyways, everything is close by."
335,The hotel was okay the hotel was fine I must put a bunch of words in here to tell you simply that the hotel was okay.
336,Halls reeked of marijuana. Pool was overpacked with non guests from a birthday party rental. They offer memberships to the pool and exercise room to non guests. Pool was not very clean. Was given 2 towels and wash clothes for 4 people in a room. Website stated free breakfast but neglected to say it was for 2 and you pay tax and gratuity for the free ones also. Website and book in room said there are snack vending machines and there are only ice and soda vending machines. Shower was luke warm and no way to make it warmer. Worst hotel I have ever stayed in.
337,"My son and I thoroughly enjoyed our 4 day stay, the rooms were VERY clean, the staff courteous and the hospitality OUTSTANDING. Please post these comments, thanks. Joe"
338,"We found this hotel while travelling and had read a few bad reviews due to it being renovated!!! We had time to go echeck it out before actually booking!! We asked to see a room and were very pleasantly surprises by how lovely and new the hotel and room was!! They. Have done a great job of the Reno!! The hallways, rooms and main areas are clean plus and very tastefully decorated!! The room had great beds and high end quality linens. The room was large and spacious!! We stayed at the hotel for dinner as there was a bar/restaurant on the premesis!! Super friendly staff and the food was of very good quality for pub food!! Nice not to have to go looking for a place to eat after being on the road all day! Another of the hotel amenities was the great gym and pool area!! Dosen,t get any better anywhere!!! High end equipment , pool and jacuzzi!, another great perk is, in the morning the from lobby staff give you a $7.00 voucher per person for breakfast in the hotel!!! This is not your average Best Western!! We had a lovely bacon/ egg brkf for $0,,, All the staff were super friendly and seemed like they loved their jobs!!! My only complaint is the fact that people are allowd to smoke in some of the rooms!! Smoking is not segregated by floors!! We instantly could smell cig smoke when we went to the second floor!! We also could smell MJ coming from one room!! To bad this hotel is allowing smoking within especially since they have done such a fine job of renovating!! In this day and age, smoking in hotels or anywhere inside is just not acceptable!! I hope this hotel changes their policy as it would be a shame to ruin such a great Reno,d to new hotel!!"
339,"We stayed here for 1 night. Rooms were clean and relatively comfortable. The restaurant is more of a bar and we were the only people that ate there that evening (there seemed to be quite a few people in the bar end though), the waiter was very helpful, the food was average (burgers, sandwiches and fries). NB breakfast is not... More"
340,"Excellent value, nice clean room , quiet, had fun at the bar our bartender was REALY nice and friendly. For sure this would be my second home if it wasn't so far away from my Massachusetts home. Would definitely recommend this Hotel to anyone staying in the area. Dear T2359WMstephenb - Thanks so much for the kind words! We are glad you enjoyed your stay, and we look forward to having you back with us on your next trip to the area :)"
341,I had a wonderful time at the best Western. My kids loved the pool and jetted spa. The staff where friendly and helpful.
342,"We have stayed here a couple of times. The rooms are ok, the facilities are ok, the staff is terrific. The staff is very friendly and service oriented, they are what keep us coming back. There is a pool and work out area. The restaurant could use some updating. The rooms were clean."
343,We had business to attend to in Waterville
344,"This hotel is absolutely disgusting! You could not pay me to stay here again. We requested a non smoking room , but the entire first floor smelled of smoke!! Rooms are very old and dark. Shower which I was even scared to step into barefoot didn't get above Luke warm. The little coffee machine in the room also didn't work.. it was just bad all the way around!! I wasn't expecting fancy being a best western but clean and not outdated would have been nice! Stay elsewhere! !"
345,"I'm going to keep this fairly short but what I will say is if you are going to stay in Palm Springs please stay here. It's not right on the main drag but it's in a lovely residential area, no noise, ample parking and just so peaceful. Only 5 in an Uber to the main strip with the bars and... More"
346,Upgraded motel with an extremely comfortable bed and quiet room on the top (third) floor. We enjoyed our breakfast and the allowance (14) given to cover breakfast. I definitely would consider staying at the Best Western Plus if I was staying in Waterville again.
347,"My family stayed at this hotel and had a great weekend. The pool was huge and my kids loved it. The restaurant gives you a hot breakfast, not a microwaved one and the rooms were very clean. I would recommend this hotel to anyone and I want to thank the staff for a fun weekend away!!!"
348,I enjoyed having the restaurant in the hotel as well as the $14.00 breakfast voucher
349,"Room, Pool and Restaurant were better than expected for a Best Western."
350,"The room was great! Lots of space, good full-length mirrors, and an excellent bed. The closet could have been better. It was very shallow and needed to be deeper for clothes to hang properly."
351,Hotel Room was clean and comfortable.  We would recommend. We stayed because we were visiting Thomas College.
352,"All the hallways smell of smoke. The room was dirty when we checked in.  The next day they never sent housekeeping to clean.  Did not give us clean towels in spite of the request for those and housekeeping services.  They said the housekeepers had all gone home.  The restaurant was terrible service.  One person waiting on the room over breakfast the first day.  Twenty minutes to receive a menu and then nothing after the meal was delivered.  We got our own flatware and coffee.  The second day there was more staff but the waitress decided to change my plain yogurt to blueberry.  I am allergic.  Had to send it back.  I asked for a manager to contact me but no one called.  Called corporate and they wanted to give me points.  Called Mr. Kong, the president of Best Western and they will give me a $50.00 credit, the first offer was a gift certificate for $50.00  No thanks, I wont ever stay in another Best Western again.  The hotel manager has still not contacted me, its been three weeks."
353,"hot tub too hot,(over 100),but pool was great.room was clean and bed was very comfortable.toilet was too small as was the bath room.but I felt safe . breakfast is big $$$ otherwise ok"
354,"Stayed here while doing some lake fishing for a few nights. Staff very friendly and helpful. Hotel is older but they come in and clean room every. Wifi works well. Comes with voucher for breakfast. I read some bad comments about the food but we found it to be very good. You can get the buffet on the weekend or order off the menu with a certain credit. Eggs, french toast and pancakes with fresh Maine blueberries very good. Yogurt parfait with granola also yummy. Located on a busy street, many shops and places to eat right there."
355,"i had a great time nice hotel, friendly staff and clean room"
356,"We had unit 4 on the east side of the complex for 3 nights - very quiet, very comfortable bed, nice amenities in room - killer shower!! pool was large, heated, wonderful - Judy hope I got that right made us fresh orange and banana smoothies when we were in the pool - breakfast in fridge was just ok, little... More"
357,Fantastic place.good size room.awesome pool! Super clean and modern. I would stay again and will reccomend for my many visitors who stop along the way to rest.
358,"I was attending a business conference in the area. I chose this hotel for it's location, price, and because they have a pool and fitness room on-site. The Staff were friendly and helpful. Room was clean and well appointed. I enjoyed using the fitness room, but the pool was a nightmare. Despite the fact that there were signs everywhere saying,... More"
359,I would recommend this hotel to family and friends. All the staff was friendly and helpful. The hotel was clean and decorated very well. I loved the courtyard with the trees and beautiful flowerbeds. It is the perfect place to have a picnic lunch. The saltwater pool was great and very relaxing. I really enjoyed my stay and plan to... More
360,"Two pillowcases and the sheet had hair on it. I think just left over from the a laundering process but still disconcerting and if we had not arrived so late at night, I would have asked to switch rooms."
361,This hotel was nice. Nothing extra. The staff was very pleasant and accommodating. Would stay here again.
362,"We really enjoyed our stay at the Best Western Grand. It was an older hotel buy very comfortable, and the pool and the hot tub were clean. And even though there is a restaurant there, they also provided a continental breakfast. This worked out well for us, because we did not have time for a sit down breakfast the morning we checked out."
363,overall pleasant  good breakfast. clean room easy to get to.
364,"Connectivity in the rooms is a joke. Go somewhere else if you need internet. Imagine if a hotel told you that because the place was full, the toilets were going to flush every once in a while, and that the best idea would be to flush when no one else was in the hotel. Apart from the internet, the place... More"
365,Clean rooms and nice pool. Great breakfast and wait staff.
366,Good parking for vehicles w/ trailers.
367,"Stayed 3 nights in this beautiful hotel. This place is very clean, rooms have all been recently upgraded. Big comfortable bed, nice kitchen with granite countertops, fridge, Keurig coffee maker, and even a two burner stove. Bathrooms are big with granite countertops, two sinks, and a huge shower. Pool area is gorgeous and the owner and staff make you feel... More"
368,"first time staying here. room was great, very clean and spacious. bed was very comfortable which is not the case at most places we've stayed before. pool and hot tub were clean, indoor, and convenient to use. staff was friendly and the included breakfast in the resturant was awesome, not just the usual donuts, fruit, and coffee. overall very satisfied"
369,"We stayed for a funeral. They gave us a heavily discounted bereavement rate. The staff was very nice for the most part. Front desk staff was amazing. They made a room available to our parties to get away from the bar/restaurant, because it was wing night for the locals. Pool attendant wasn't friendly, but everyone is entitled to a bad... Dear BostonParker - Thank you for taking the time to write this kind review, and I'm so sorry for your loss, and that it was a funeral that brought you to our property. I'm glad you enjoyed your stay, even under the circumstances, and I apologize that some of the interactions you had were not representative of the majority of..."
370,"Having moved rooms because of noise twice, I'm still waiting for the manager to return my call!! Three times I have left messages for the none existing manager. I hope the owner is aware of the poor service the hotel provides at its front desk and office! Dear Allpro63, Thank you for taking the time to write this review. We appreciate your feedback. My sincere apologies that you had to move rooms twice during your stay. Sometimes noise is beyond our control but we do try to do our best for each guest. Thank you!"
371,"We had a wonderful night staying in this hotel for one night. Easy, clean, friendly, convenient. I loved that we got a voucher for $ off breakfast at the attached restaurant. We had a great stay."
372,"My two daughters and I stayed in the hotel's suite for a local dance competition. The room was nice and the beds were very comfortable. The bathroom could have been cleaner, but overall we were happy."
373,Nice stop over hotel near some shops.   The hotel had a pool and hot tub but these could do with some work.   Had a nice friendly bar to relax in.
374,"The room was very small, the cable was fuzzy and not HD, and all the doors stuck or were not properly fitted for the opening. This was a $90 room, not at $150 room. Way over priced for location and condition. Not what I would expect from Best Western."
375,"This hïïe is complete and lasting an atmosphere without charm, even sad. However, the bed is of good quality and the shower works well."
376,"From check in to the day we left very comfortable and rooms were verhy clean , staff very helpful"
377,"The hotel was adequate and met my basic needs. It met my expectations for this type of hotel. The staff was friendly and helpful. The TV was difficult to use - you couldn't get directly to a specific channel and it didn't have all the network channels, presumably b/c it was DirectTV. The continental breakfast consisted of coffee/tea and muffins so I wouldn't really call it a continental breakfast."
378,"This place is just perfect for everyone looking for some rest in lovely and warm Palm Springs. The host welcomed us very very friendly, explaining us what we could find where. The private kitchen had our breakfast and a complimentary bottle of wine. The room (call it the appartment) had everything and was very well decorated and had an outside... More"
379,Great place to stay when visiting your child at Colby! The hotel is convenient to campus. Rooms are good - beds are comfortable. Breakfast is good. Fitness center looks decent. We will stay there again when visiting Colby.
380,The motel was very nice place and the staff were great at all time. They were ready to help all the time. My wife sister died while we were there. They could not do enough for us. The only thing is they keep it to cold at he front desk and restaurant. We would stay there the next time we go buy.
381,This best Western Plus was average. The room was clean. The king bed comfortable. Convenient location close to I-95. Decent breakfast.
382,The first room we were assigned smelled like sewer. They gladly moved us and the 2nd room was fine. No complaints about the room.
383,"Wonderful stay, Staff was so helpful"
384,"Room was clean, spacious and comfortable, Restaurant (O'Reily's) was charming with modestly priced good food, but limited menu. We had a back inside room which was quiet and easily accessed. They include a breakfast beginning at 7:00 but we had to leave before 7 so cannot comment on the breakfast."
385,"This place was right off the highway, but not too noisy. The rooms were spacious and clean. There was a pool and exercise room. But the best part was O'Brien's, where you could get meals and drinks on the premises. Lively atmosphere, with good food and great service."
386,"On our trip to Canada from Connecticut, We stayed the night in this lovely hotel. They brought the suitcases to our rooms in record time, and there were cookies and juice waiting for all visitors. Add to that a lovely buffet breakfast in the morning before we got on our way. It was a great experience with clean rooms and... More"
387,Problematic wifi
388,"one handicap parking spot per entrance , broken bed, not handicap friendly. internet never worked over two days. Told front desk I couldn't walk far so I need something close to the exit they put me as far away as they could,"
389,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
390,"The hotel was fine, just know that smoking is allowed on some floors so there is lingering tobacco odor in some corridors. O'Brien's was a nice surprise, good food and great service.  Also, a true breakfast is included with the price of the room, cooked to order not the typical complimentary breakfast buffet.  The internet speed was good as well."
391,Nice and friendly staff
392,"Room was very large and comfortable. Bed was also very comfortable. Staff was very friendly. We stayed here on our way to Nova Scotia. Breakfast was buffet and was very good, many items to choose from. Suit cases brought to room very quickly."
393,Nice rooms. Very clean. Front staff was polite and courteous.
394,"1.) We live out of town and we stayed at this hotel because my fianc had to work 12 hours on Friday in Waterville and had to be to work very early on Saturday for another 10 hour day, we stayed thinking he would get more rest. 2.) I wanted to order room service however the guest information booklet if... More"
395,Stayed night for my son's birthday. Kids had a blast loved the pool. Restaurant attached has smallest menu I've ever seen and aweful service but the hotel was fine! Clean rooms comfortable beds and the Xbox hooked up to the TV easily.
396,This hotel was nice. Nothing extra. The staff was very pleasant and accommodating. Would stay here again.
397,It ws just an over night but very good accommodations
398,We have stayed at this Best Western several times. The rooms are clean. The staff is courteous and helpful and the breakfast is decent. It is very close to the highway but we never heard the traffic. Worth the money
399,"The hotel was excellent in all aspects. Lobby was warm and friendly, staff was knowledgeable. The room was clean, comfortable and quiet. My one night stay was outstanding. The location of this best western was right off the interstate highway with plenty of restaurants to choose from. It also had it's own restaurant."
400,"Little Paradise is called a hotel, but it is more of a motel tucked away in a nice neighborhood district with similar styled single story boutique motels/hotels. This is not your large chain full service hotel but a nice hideaway with just a few rooms surrounding a warm salt water swimming pool. There is no on-site restaurant but you get... More"
401,"overall an 8, breakfast was acceptable (better last few times before) upgraded cable service would make stay much better. matress on both double beds on third floor way too soft but had no problems with 1st ir second floors at earlier stays."
402,slept like a baby!!! :)
403,"The Best Western Plus brand is consistently decent, and this hotel did not disappoint. It"
404,"Great hotel to stay ,,Was there for my niece to see Unity college"
405,Nice hotel for the price. Great for a short stay. Breakfast discount a nice touch. One of
406,"The Best Western Plus brand is consistently decent, and this hotel did not disappoint. It"
407,"Slightly tired hotel, but probably the best hotel in Waterville. Skip the in-house"
408,slept like a baby!!! :)
409,Nice hotel for the price. Great for a short stay. Breakfast discount a nice touch. One of
410,"Slightly tired hotel, but probably the best hotel in Waterville. Skip the in-house"
411,"If you are being treated at any Texas Medical Center facility this is a good place to stay. Very clean, decent breakfast, and shuttle. The only negative is that the shuttle doesn't run in the middle of the day making it inconvenient to return to the hotel following an appointment. We have had to take a taxi a few times.... More"
412,This hotel is absolutely disgusting! You could not pay me to stay here again. We
413,"The room was great! Lots of space, good full-length mirrors, and an excellent bed. The"
414,Stayed here whilst on business - it's a friendly little place with good food and facilities. The hotel - well not exactly 'grand' but certainly very friendly and for a business stop out here in Fairfield - well it's great. Staff - lovely helpful people - can you ask for anymore Hotel - a little dated but still functional -... More
415,"The Best Western in Waterville was nice and clean. The room was nice. The receptionist checking me in, however, appeared to have no interest in her job or me. I was very disappointed that the WIFI did not work in my room. When I complained about it in the morning I was told it works great in all rooms. The... More"
416,My children loved © the pool especially for© the temperature of salt © water and ambient air. Especially after a cross-country skiing trip in the morning (5 km) and shopping in the afternoon. The days © were full ©.
417,"OK hotel on the outskirts of Waterville. Pretty quiet. The hotel has a swimming pool, restaurant and bar and also access to switches + tumble rs."
418,Lovely stay Lucky with the weather so we could sit outside and have dinner
419,"Hotel well located©, the© breakfast had to be included but only for two!! We were 2 plus 2 children, so we had to pay the two extra ©©seals"
420,"Clean hotel. Great breakfast. Good value. O'Brien's restaurant makes a great breakfast that is individually prepared, not the typical rubber egg buffet that you get at most hotels. Good deal for the price. I will go there again for my next business trip to Waterville."
421,"The hotel has come of age and has hardly been renewed. The location is suitable for car travellers as a stage stop, because it is located directly on the motorway. It was pleasant that there was no typical American breakfast buffet, but one was served at the table. When booking, there was a loan of 7 USD per person, which was sufficient for a simple time."
422,"Pathetic and discriminatory. They have a free shuttle service, but it is not accessible to wheelchair users, and they don't care. The front desk did not do anything about the issue. I emailed the corporate customer care email address and they take unreasonable amounts of time to respond to emails and do not remedy the problem. The customer care email... More"
423,"My daughter wanted to book a hotel with friends for the weekend. They had fun in the pool and hot tub. Overall the Hotel was nice. It was clean, the rooms were large,and the pool area was clean and everyone was friendly."
424,"Traveling with a dog and this was a nice, clean hotel and conference center. Had breakfast at the restaurant the next morning and it was awesome -- complete with waitresses, juice and eggs cooked to order. Best breakfast on our trip. Hotel gives you a voucher, so you have to pay a little money for the breakfast, but it was... More"
425,"We stayed for the weekend, good area for shopping, the place needs a little updating, but the staff more than makes up for that. We go there because of the pool and hot tub. They have a very nice breakfast plan where you can order what you like from their restaurant for the breakfast."
426,"This hotel is very conveniently located just off I-95 (there's a Ruby Tuesday Restaurant just a short walk away - we had a nice dinner there). The staff at check-in was not very friendly (they just did their basic job and didn't look quite happy). Our room was clean and spacious (king sized bed, flatscreen tv, fridge, microwave and a... More"
427,"Pool staff do not enforce rules. Many adults buy memberships to the pool and fitness center, therefore have an expectation that they will be able to use the facility as it is intended. Instead, there are frequently screaming and out of control children at the pool, especially on weekends. The rooms are very nice, as is the restaurant ."
428,"Not looking to break the bank on a hotel overnight - looking for clean, quiet and comfortable. This hotel fit the bill. We were 2 adults and a teen, so wish they had larger than double-sized beds, and it would have been better to have had 3 bath towels instead of 2. But the TV worked, the heat worked, the... More"
429,"I recently had two visits to this location. For both visits my reservation was for a room with a king bed. However, when I checked in for the first visit I was informed that the room I had reserved wasn't available and they put me in a room with two double beds. This in itself wasn't a big issue however,... More"
430,We enjoyed our stay. It was quiet even though there were many teenagers staying there. The breakfast was delicious. The people at the desk were very helpful and informative. We would certainly return to this hotel.
431,"My wife and my in-laws stayed here over Thanksgiving weekend. We chose it because they are pet friendly, up to 85 pounds I believe. Our room was as nice as you would expect from a Best Western. The room service did not turn the heat off during the day so it was sweltering at night when we got back. The... More"
432,"Seeing as it's in the middle of Maine, you're not going to get a 5-star hotel. However, this is probably the best in the area. I've had WiFi issues here in the past, but this time I had the 3rd floor, and no issues at all. So, I'd suggest 3rd floor."
433,This Comfort Suites was a terrific hotel. The staff was friendly and the room was clean and a good size. There was great food for breakfast and a large variety. It was very convenient for our trip. We went to an Astros game and the drive was about 18 minutes. We went to the Johnson Space Center the next day... More
434,"good location close to the highway, quiet rooms but small bathrooms,comfortable beds with luxury linens, friendly staff throughout and good food at the restaurant, make sure you try the prime rib... it was excellent... great value and a nice place to stay, pet friendly also"
435,"Overall a good place to stay. Restaurant served a great dinner although it was noisy ,because it was wing night, it attracted a lot of beer drinkers. Also the room heater/fan was noisy. The sit down service breakfast was excellent and had a good selection."
436,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
437,"Stay here alot, kids go to school in Columbia and this hotel has become my home away from home."
438,staff was not friendly
439,"was just an overnite stay, was on a long trip and needed someplace to sleep for the nite. Got in at 9:30pm and left before 6am so was good for that. That was the plan and it worked."
440,Overall fine
441,It was a comfortable stay. I will say that the walls are a bit thin. I didn't like hearing slamming doors throughout the night from other guests. The room was fairly clean. The beds were really comfortable. Breakfast was decent. The front desk clerk could be a bit more friendlier. I would stay there again.
442,"When we first walked into our building, there was a skunky smell. Luckily, our room wasn't quite as bad. We did go across the street to the grocery store and got some air spray for our room. The pillows were not the best quality. The bedspread was thin. The mattress was nice, however. The shower had good water pressure."
443,Excellent
444,great stay and great accommodation on the hectic days of the Biennale opening. The ladies at the reception are very efficient and exquisite and are no less the girls serving breakfast. To go back
445,"Great location walking distance to NRG Stadium. Next door to Pappa BBQ (warning- good, but very smoky flavor). Hotel was nicely decorated, gave a warm welcome. Front desk staff was friendly, though distracted. Our room, while quite large (we had an accessible room), had two ACs that did not de-humidify the room. It felt damp/humid the whole stay. Though... More"
446,"Side doors r lock, but u can use a plastic card to inner ., not not good."
447,"Quick one night stay, comfortable with good free hot breakfast."
448,"Stayed for a weekend (Thurs-Mon) and thankfully the Tigers Football team was on the road so getting a room wasn't hard. It was a great value for the little cost of the room. If you're on a tight budget, this place is great. If you're looking for a resort stay and planning on spending your entire trip in the hotel, this is not your place. Bed was great to sleep in, shower was hot to bathe in. All I needed the room for."
449,Pretty good place to stay. Price is pretty low compared to others nearby and the rooms are pretty good. Wasn't there much because of work but had no problems when I was there. TGI Friday's next door is great.
450,This was a fantastic stay. The employees were great! Had a light bulb break and they came straight away and cleaned it up. Nice pillows. Close to a lot of eateries.
451,The cleaning staff left dirty towels in our room which we found when we checked into our room. The onsite clerk came to pick them up but did not apologize and was hesitant when we first asked her.
452,Second year staying here for True/False. The room is fine. Breakfast is better than a lot of other budget places.
453,"I booked the hotel last minute as I was simply too tired to continue driving. I'm in grad school so I needed cheap. Considering the price, the hotel amenities and upkeep was as expected. The staff was friendly enough, the hotel smelled like mildew, serious updates were needed, and the continental breakfast was lacking. The only things that I considered to be under what I paid was the bed and room itself. The bed was terribly uncomfortable. The pillows were hard and lumpy... like when you wash and then high heat dry artificial pillow stuffing and it melts together. The AC unit didn't really work. It just blew air. I was hoping it would cool down to kill the mildew smell, but it never did. The worst was that every time the AC unit kicked off, a noise would start (I'm assuming some kind of duct work) that sounded like someone was knocking at my door. This continued through the night so needless to say, I didn't sleep very well."
454,I would recommend this hotel to others. It was a nice facility nice room and accommodation.
455,"Hotel was clean, the kids had fun swimming and had a room closet to the pool. Breakfast was good."
456,"The room was clean, the hotel workers were very good and the breakfast was also good. But the kennel with the dogs was awful. These dogs starting barking at six in the morning. The television in my room was a twenty inch LG. I will never go back there again."
457,"Showed up on Friday left on Sunday. Everything was good. Breakfast was great. Very nice staff. The only problem was the bathroom. The toilet, shower head, and tub faucet were loose. It looks like they tried to update the tub area but didn't do a good job of it. The lights in the bathroom are exetremely hot. Other than that good trip."
458,Bed was very firm and uncomfortable TV speaker had a lot of static like it was busted remote didn't work very good and our key cards would not open the outside doors most of the time
459,"Clean room, good service, a decent breakfast bar. My only complaint is that the booking site said nothing about an additional 100.00 cash deposit (refundable) for those who pay cash. A very unpleasant surprise when we checked in."
460,i would been nice if we didn't get the wheelchair accessible. Bathroom is for wheelchair accessible not for family.
461,"Great just a suggestion: sheet between blanket so no touching blanket. When asked for extra blanket, i got a bedspread- they are so dirty should not be used in any hotel."
462,Clean. Great for a one nighter. Only bad part was the traffic at ruch hr.
463,"Looks nothing like the pictures on line, terrible hotel"
464,"The room and hotel were generally clean. Some areas of the parking lot were too dark for my liking, but there were more than enough spaces. About what you would expect for the price."
465,Was really close to show me games.
466,My daughter was moving into Mizzou so we went up the night before I made the reservations online I must say when I walked into the lobby of the hotel seem older but nice I then checked into my room went and got something to eat came back use the restroom to see two tiny bugs not sure what they were at this point I killed them and wanted to my room saw a roach crawling up my drink when I called the front desk I told the guy I have bugs in my room he said yes as if this were a regular occurrence and then took him about 15 minutes to get me moved to a different room to say the least I was absolutely mortified this hotel is disgusting
467,"Only .3 (three tenths!) of a mile away from the Kirby St. gate of NRG Stadium. It can even be considered walking distance, and you avoid the price of parking! How nice it is to be so nearby after attending an exciting event at NRG Stadium..... saving the possibly long drive home, or to the airport, for the next day."
468,This wae a single night stop during an extended trip.
469,"for pleasure, shopping and fun all was great very reasonable room rate"
470,"directly off hwy 70, lots of eateries like Fridays and cracker barrel at same exit"
471,Overall a very pleasant stay. Newer flat screen TV with a great variety of channels to pick from and the bed was very comfy. Plenty of parking and the staff were very friendly. I would gladly stay here again!
472,The stay was good except for the room not being cleaned before we checked in
473,"Convenient location right off the highway. Bed was comfortable, room was warm. Felt safe traveling alone. Hotel is a little outdated and worn around the edges, but you can tell they work to keep it clean."
474,Worst hotel stay I have had in years. Stains on sheets Noisy others staying in hotel Room made lots of noise from above Service was lacking at best.
475,"Hotel is in desperate need of remodeling! Carpet was dingy, bathtub was and bath fixtures were old. Door was loose, even when locked, safety issue. But Good location, close to the interstate."
476,Building security was an issue
477,Hotel was ok just about all the staff did a great job except the night shift desk cleark. Called my room at 4 am because he didn't know how to do something and after a few relized he called wrong room. Pluse peoples kid down the hall slammed there door all night long.
478,"On our two trips prior to this one both the breakfast and the internet were below par. I am glad to report that on our most recent trip the internet worked great and the breakfast was much improved. When you go to Texas for cancer treatment, the little things become big things. You can stay here with confidence."
479,"It was a nice room. pleasant to the eye. But the TV keep mess up. But I didn't complain, because we were out most of the day. I didn't know about it because I went to bed. My daughter told me about it the next day. The night stand was dirty. But rest of room looked clean. Towels were hard."
480,2nd stay. will stay again
481,"Workers, check in, and check out were great!! Grounds and rooms need be cleaner. Bad musty, wet smell when entering building."
482,Stewart was very helpful with check-in.
483,"They allow pets (dogs only) in this hotel, which is probably great for pet owners, but not so great when the dogs have accidents, and the hallway smells of doggy poo. It was cleaned up, but the smell did linger. Otherwise hotel was a good value for the price. And I would recommend to people who absolutely have to take their dogs with them while they travel."
484,Excellent
485,"The service, location and room were in line with the price. The hotel is dated but the service was friendly, room was clean."
486,Very in the middle of nowhere. Did not feel safe or clean. Walls very thin. Breakfast minimal
487,"Possibly the smokiest hotel room I've ever been in. Pulling the covers up would release yet another cloud of smoke an awful experience, for sure. To top it off, upon return home, everything in our bags, including the bags themselves required washing! Old and smoky."
488,Hotel is old but you get what you pay for. Price was one of the cheapest in the area but the hotel was pretty old you can't change that. Bed was comfortable. Breakfast wasn't great but typical. All staff was very nice.
489,Stayed here for two nights to visit MDA. The rooms are clean. The bed is comfortable. The internet worked great. The staff was nice. Close to many restaurants. I highly recommend. We stayed at Best Western the last visit and had a total different (bad) experience.
490,This hotel isn't bad for the price I paid. It is located in a great spot. Easy to get to.
491,Very affordable. Very clean room. Lobby and meeting rooms a little outdated. Breakfast area was clean and well stocked. Friendly staff. We needed a place before and after surgery. Meet our needs. We will stay again.
492,There were only a hand full of cars in the parking lot. But room was adequate although there was a fairly loud drone sound coming from the roof that I could hear not only in my room but also as I walked down the hall. I speculated that it was an HVAC unit on the roof. It was annoying but do -able so I didn't complain.
493,"The hotel is in a prime location. Close to the highway and easy to get to. Breakfast was OK, but lacked variety. Some eggs and more fruit options would have been nice. The other issue is how loud it was in the halls at night. Doors banging and people talking went right through the walls. Hard to get a good night sleep. The front desk was very helpful and friendly. I did have trouble accessing the WiFi. Overall it wasn't a bad stay but there were issues."
494,Enjoyed everything but that hard Ole soap.. not pleasant and too hard. Also only 1 washclothe.
495,"Everything was great. Only thing that disturbed me, was a notice on the desk in the room. Advising how to lock your car and what not to leave in it. That means to me, that there are a lot of car break-ins. But like I said, we didn't have a problem and a good experience."
496,"Stay was fine. Sneezed/coughed a bit my first night there, but seems to lessen the second night. Hotel looked great, but rooms are clean, but bathroom a little worn. Toilet is really low, but bed and pillows were extremely comfortable. Free breakfast, can be slightly more balance nutritionally, but it was okay."
